EM Weight (%),US Weight (%),Ann Return (%),Ann Vol (%),Sharpe
0.0,100.0,15.226086956521732,18.228746079522683,0.8352788990585591
1.0,99.0,15.129009815042599,18.061454392762748,0.8376407284844578
2.0,98.0,15.031932673563473,17.894400565257005,0.8400355529510625
3.0,97.0,14.93485553208434,17.727591321321064,0.8424638892776207
4.0,96.0,14.83777839060521,17.561033630728343,0.8449262556300802
5.0,95.0,14.740701249126081,17.394734719484862,0.8474231706801575
6.0,94.0,14.643624107646952,17.228702081144085,0.8499551526678051
7.000000000000001,93.0,14.54654696616782,17.06294348869126,0.852522718357989
8.0,92.0,14.449469824688693,16.89746700702832,0.8551263818818874
9.0,91.0,14.352392683209564,16.73228100609227,0.8577666534517212
10.0,90.0,14.255315541730434,16.567394174641578,0.860444037937477
11.0,89.0,14.158238400251303,16.402815534747248,0.8631590332927236
12.0,88.0,14.061161258772174,16.23855445702695,0.865912128815595
13.0,87.0,13.964084117293044,16.074620676662963,0.8687038032297718
14.000000000000002,86.0,13.867006975813915,15.911024310246566,0.8715345225689637
15.0,85.0,13.769929834334782,15.747775873494016,0.8744047378469324
16.0,84.0,13.672852692855656,15.584886299881356,0.8773148824935441
17.0,83.0,13.575775551376523,15.42236696024787,0.8802653695356196
18.0,82.0,13.478698409897394,15.260229683420468,0.883256588499541
19.0,81.0,13.381621268418264,15.098486777913719,0.8862889020105704
20.0,80.0,13.284544126939135,14.937151054763081,0.8893626420617222
21.0,79.0,13.187466985460006,14.77623585155132,0.8924781059227264
22.0,78.0,13.090389843980876,14.615755057690915,0.8956355516571564
23.0,77.0,12.993312702501743,14.455723141027946,0.898835193213156
24.0,76.0,12.896235561022614,14.296155175835581,0.9020771950503716
25.0,75.0,12.799158419543485,14.137066872267964,0.9053616662626819
26.0,74.0,12.702081278064355,13.978474607347843,0.9086886541531115
27.0,73.0,12.605004136585226,13.82039545756368,0.9120581372139182
28.000000000000004,72.0,12.507926995106095,13.662847233154283,0.9154700174612465
28.999999999999996,71.0,12.410849853626965,13.505848514160915,0.9189241120699791
30.0,70.0,12.313772712147836,13.34941868832871,0.922420144250451
31.0,69.0,12.216695570668705,13.193577990940264,0.9259577333046151
32.0,68.0,12.119618429189575,13.038347546665305,0.9295363837949921
33.0,67.0,12.022541287710446,12.88374941351039,0.9331554737554234
34.0,65.99999999999999,11.925464146231315,12.729806628952053,0.9368142418682637
35.0,64.99999999999999,11.828387004752186,12.576543258335349,0.9405117735282859
36.0,64.0,11.731309863273058,12.423984445617087,0.9442469857092916
37.0,63.0,11.634232721793927,12.272156466529283,0.9480186105453259
38.0,62.0,11.537155580314797,12.121086784232842,0.9518251775346065
39.0,61.0,11.440078438835668,11.970804107524181,0.9556649942709422
40.0,60.0,11.343001297356539,11.821338451648268,0.9595361256047081
41.0,59.0,11.24592415587741,11.672721201759433,0.9634363711336057
42.0,58.00000000000001,11.14884701439828,11.52498517905671,0.9673632409226911
43.0,57.00000000000001,11.05176987291915,11.378164709602148,0.9713139293538658
44.0,56.00000000000001,10.95469273144002,11.232295695808622,0.9752852870075178
45.0,55.00000000000001,10.85761558996089,11.087415690557128,0.9792737904837506
46.0,54.0,10.760538448481759,10.943563973872045,0.983275510078137
47.0,53.0,10.66346130700263,10.800781632045624,0.9872860752377801
48.0,52.0,10.5663841655235,10.659111639059065,0.9913006377383481
49.0,51.0,10.469307024044369,10.518598940096584,0.9953138325424391
50.0,50.0,10.37222988256524,10.379290536889496,0.9993197363250251
51.0,49.0,10.27515274108611,10.241235574559008,1.0033118236837906
52.0,48.0,10.178075599606979,10.104485429548028,1.0072829210920287
53.0,47.0,10.08099845812785,9.969093798142842,1.0112251587005687
54.0,46.0,9.98392131664872,9.835116784984205,1.015129920154248
55.00000000000001,44.99999999999999,9.88684417516959,9.70261299085315,1.0189877906590852
56.00000000000001,43.99999999999999,9.789767033690461,9.571643598889004,1.0227885036198774
57.00000000000001,42.99999999999999,9.69268989221133,9.442272458254932,1.0265208862658344
57.99999999999999,42.00000000000001,9.5956127507322,9.314566164109458,1.0301728047953174
59.0,41.0,9.498535609253071,9.188594132570671,1.033731109700858
60.0,40.0,9.401458467773942,9.064428669173683,1.0371815820832073
61.0,39.0,9.304381326294813,8.942145029121912,1.0405088819285757
62.0,38.0,9.207304184815682,8.821821467420882,1.043696499506184
63.0,37.0,9.110227043336552,8.703539276761633,1.0467267112427208
64.0,36.0,9.013149901857421,8.587382810793006,1.0495805416441075
65.0,35.0,8.916072760378292,8.473439490192884,1.0522377330596044
66.0,34.0,8.818995618899162,8.36179978872393,1.0546767253135827
67.0,32.99999999999999,8.721918477420033,8.252557196247306,1.0568746474591124
68.0,31.999999999999996,8.624841335940904,8.145808155477825,1.0588073241254696
69.0,30.999999999999993,8.527764194461774,8.041651969107544,1.0604492991268035
70.0,29.999999999999993,8.430687052982643,7.940190673815062,1.0617738791569737
71.0,29.000000000000004,8.333609911503515,7.841528877630588,1.0627532004985252
72.0,28.000000000000004,8.236532770024384,7.745773557158474,1.06335832170208
73.0,27.0,8.139455628545255,7.653033811288351,1.063559345123946
74.0,26.0,8.042378487066125,7.5634205682717575,1.0633255700210005
75.0,25.0,7.945301345586994,7.477046243422341,1.0626256795691995
76.0,24.0,7.848224204107863,7.394024345231914,1.0614279636729682
77.0,23.0,7.751147062628734,7.314469028396707,1.0597005787483311
78.0,21.999999999999996,7.654069921149604,7.238494593128694,1.0574118447799083
79.0,20.999999999999996,7.556992779670474,7.166214931190545,1.0545305788665493
80.0,19.999999999999996,7.459915638191345,7.0977429203352775,1.051026463189929
81.0,18.999999999999993,7.362838496712215,7.033189770239893,1.0468704438869532
82.0,17.999999999999993,7.265761355233084,6.972664324569975,1.0420351557195011
83.0,16.999999999999993,7.168684213753955,6.916272325461235,1.036495365771458
84.0,16.000000000000004,7.071607072274825,6.8641156484020085,1.030228427739431
85.0,15.000000000000002,6.974529930795696,6.816291517182931,1.0232147368130997
86.0,14.000000000000002,6.877452789316567,6.772891710169955,1.0154381737699432
87.0,13.0,6.780375647837436,6.734001770570313,1.0068865258500217
88.0,12.0,6.683298506358307,6.69970023450942,0.997551871340955
89.0,10.999999999999998,6.586221364879176,6.670057891533878,0.9874309146909934
90.0,9.999999999999998,6.4891442234000465,6.645137092523178,0.9765252594564757
91.0,8.999999999999996,6.392067081920917,6.624991119867837,0.9648416075233069
92.0,7.9999999999999964,6.294989940441786,6.609663634112882,0.9523918748229417
93.0,6.999999999999995,6.197912798962657,6.599188210059416,0.9391932161466348
94.0,5.999999999999995,6.100835657483527,6.593587973580572,0.9252679545535113
95.0,4.999999999999993,6.003758516004397,6.592875348191546,0.9106434141290497
96.0,4.0000000000000036,5.906681374525268,6.597051917798094,0.8953516583050856
97.0,3.0000000000000027,5.809604233046138,6.606108409142368,0.8794291394016595
98.0,2.0000000000000018,5.712527091567009,6.620024794398113,0.8629162682896547
99.0,1.0000000000000009,5.6154499500878785,6.638770511279655,0.8458569159073813
100.0,0.0,5.518372808608748,6.66230479506253,0.8282978606290189
